date,Name,head
7/1/2015,R20-95-06,1119.46
7/2/2015,R20-95-06,1119.45
7/3/2015,R20-95-06,
7/4/2015,R20-95-06,
7/5/2015,R20-95-06,
7/6/2015,R20-95-06,1119.43
7/7/2015,R20-95-06,1119.46
7/8/2015,R20-95-06,1119.48
7/9/2015,R20-95-06,1119.49
7/10/2015,R20-95-06,1119.48
7/11/2015,R20-95-06,
7/12/2015,R20-95-06,
7/13/2015,R20-95-06,1119.49
7/14/2015,R20-95-06,1119.45
7/15/2015,R20-95-06,1119.42
7/16/2015,R20-95-06,1119.41
7/17/2015,R20-95-06,1119.4
7/18/2015,R20-95-06,
7/19/2015,R20-95-06,
7/20/2015,R20-95-06,1119.38
7/21/2015,R20-95-06,1119.37
7/22/2015,R20-95-06,1119.36
7/23/2015,R20-95-06,1119.36
7/24/2015,R20-95-06,1119.35
7/25/2015,R20-95-06,
7/26/2015,R20-95-06,
7/27/2015,R20-95-06,1119.28
7/28/2015,R20-95-06,1119.29
7/29/2015,R20-95-06,1119.28
7/30/2015,R20-95-06,1119.27
7/31/2015,R20-95-06,1119.28
7/1/2015,CL-80C,1119.2
7/2/2015,CL-80C,1119.21
7/3/2015,CL-80C,
7/4/2015,CL-80C,
7/5/2015,CL-80C,
7/6/2015,CL-80C,1119.21
7/7/2015,CL-80C,1119.23
7/8/2015,CL-80C,1119.25
7/9/2015,CL-80C,1119.26
7/10/2015,CL-80C,1119.26
7/11/2015,CL-80C,
7/12/2015,CL-80C,
7/13/2015,CL-80C,1119.3
7/14/2015,CL-80C,1119.18
7/15/2015,CL-80C,1119.16
7/16/2015,CL-80C,1119.16
7/17/2015,CL-80C,1119.16
7/18/2015,CL-80C,
7/19/2015,CL-80C,
7/20/2015,CL-80C,1119.18
7/21/2015,CL-80C,1119.18
7/22/2015,CL-80C,1119.17
7/23/2015,CL-80C,1119.15
7/24/2015,CL-80C,1119.15
7/25/2015,CL-80C,
7/26/2015,CL-80C,
7/27/2015,CL-80C,1119.08
7/28/2015,CL-80C,1119.08
7/29/2015,CL-80C,1119.09
7/30/2015,CL-80C,1119.1
7/31/2015,CL-80C,1119.11
7/1/2015,Airport,1119.83
7/2/2015,Airport,1119.82
7/3/2015,Airport,
7/4/2015,Airport,
7/5/2015,Airport,
7/6/2015,Airport,1119.21
7/7/2015,Airport,1119.84
7/8/2015,Airport,1119.87
7/9/2015,Airport,1119.89
7/10/2015,Airport,1119.89
7/11/2015,Airport,
7/12/2015,Airport,
7/13/2015,Airport,1119.93
7/14/2015,Airport,1119.94
7/15/2015,Airport,1119.93
7/16/2015,Airport,1119.92
7/17/2015,Airport,1119.92
7/18/2015,Airport,
7/19/2015,Airport,
7/20/2015,Airport,1119.9
7/21/2015,Airport,1119.9
7/22/2015,Airport,1119.88
7/23/2015,Airport,1119.89
7/24/2015,Airport,1119.89
7/25/2015,Airport,
7/26/2015,Airport,
7/27/2015,Airport,1119.85
7/28/2015,Airport,1119.84
7/29/2015,Airport,1119.83
7/30/2015,Airport,1119.83
7/31/2015,Airport,1119.82
7/1/2015,R20-2015-06,1117.03
7/2/2015,R20-2015-06,1117.29
7/3/2015,R20-2015-06,
7/4/2015,R20-2015-06,
7/5/2015,R20-2015-06,
7/6/2015,R20-2015-06,1117.15
7/7/2015,R20-2015-06,1117.22
7/8/2015,R20-2015-06,1117.26
7/9/2015,R20-2015-06,1117.26
7/10/2015,R20-2015-06,1117.2
7/11/2015,R20-2015-06,
7/12/2015,R20-2015-06,
7/13/2015,R20-2015-06,1116.97
7/14/2015,R20-2015-06,1116.94
7/15/2015,R20-2015-06,1116.84
7/16/2015,R20-2015-06,1116.86
7/17/2015,R20-2015-06,1116.81
7/18/2015,R20-2015-06,
7/19/2015,R20-2015-06,
7/20/2015,R20-2015-06,1116.74
7/21/2015,R20-2015-06,1116.75
7/22/2015,R20-2015-06,1116.73
7/23/2015,R20-2015-06,1116.72
7/24/2015,R20-2015-06,1116.7
7/25/2015,R20-2015-06,
7/26/2015,R20-2015-06,
7/27/2015,R20-2015-06,1116.74
7/28/2015,R20-2015-06,1116.78
7/29/2015,R20-2015-06,1116.83
7/30/2015,R20-2015-06,1116.78
7/31/2015,R20-2015-06,1116.94
7/1/2015,R20-2015-07,1121.81
7/2/2015,R20-2015-07,1121.83
7/3/2015,R20-2015-07,
7/4/2015,R20-2015-07,
7/5/2015,R20-2015-07,
7/6/2015,R20-2015-07,1121.92
7/7/2015,R20-2015-07,1121.91
7/8/2015,R20-2015-07,1121.9
7/9/2015,R20-2015-07,1121.95
7/10/2015,R20-2015-07,1121.94
7/11/2015,R20-2015-07,
7/12/2015,R20-2015-07,
7/13/2015,R20-2015-07,1121.86
7/14/2015,R20-2015-07,1121.83
7/15/2015,R20-2015-07,1121.8
7/16/2015,R20-2015-07,1121.79
7/17/2015,R20-2015-07,1121.77
7/18/2015,R20-2015-07,
7/19/2015,R20-2015-07,
7/20/2015,R20-2015-07,1121.72
7/21/2015,R20-2015-07,1121.72
7/22/2015,R20-2015-07,1121.69
7/23/2015,R20-2015-07,1121.69
7/24/2015,R20-2015-07,1121.67
7/25/2015,R20-2015-07,
7/26/2015,R20-2015-07,
7/27/2015,R20-2015-07,1121.64
7/28/2015,R20-2015-07,1121.64
7/29/2015,R20-2015-07,1121.65
7/30/2015,R20-2015-07,1121.65
7/31/2015,R20-2015-07,1121.66
7/1/2015,R20-2015-08,1120.06
7/2/2015,R20-2015-08,1120.06
7/3/2015,R20-2015-08,
7/4/2015,R20-2015-08,
7/5/2015,R20-2015-08,
7/6/2015,R20-2015-08,1120.02
7/7/2015,R20-2015-08,1120.01
7/8/2015,R20-2015-08,1120.01
7/9/2015,R20-2015-08,1120.02
7/10/2015,R20-2015-08,1120.01
7/11/2015,R20-2015-08,
7/12/2015,R20-2015-08,
7/13/2015,R20-2015-08,1120
7/14/2015,R20-2015-08,1120
7/15/2015,R20-2015-08,1119.99
7/16/2015,R20-2015-08,1119.98
7/17/2015,R20-2015-08,1119.97
7/18/2015,R20-2015-08,
7/19/2015,R20-2015-08,
7/20/2015,R20-2015-08,1119.94
7/21/2015,R20-2015-08,1119.93
7/22/2015,R20-2015-08,1119.91
7/23/2015,R20-2015-08,1119.91
7/24/2015,R20-2015-08,1119.92
7/25/2015,R20-2015-08,
7/26/2015,R20-2015-08,
7/27/2015,R20-2015-08,1119.87
7/28/2015,R20-2015-08,1119.85
7/29/2015,R20-2015-08,1119.84
7/30/2015,R20-2015-08,1119.83
7/31/2015,R20-2015-08,1119.82
7/1/2015,R20-2015-09,1119.38
7/2/2015,R20-2015-09,1119.43
7/3/2015,R20-2015-09,
7/4/2015,R20-2015-09,
7/5/2015,R20-2015-09,
7/6/2015,R20-2015-09,1119.38
7/7/2015,R20-2015-09,1119.4
7/8/2015,R20-2015-09,1119.42
7/9/2015,R20-2015-09,1119.45
7/10/2015,R20-2015-09,1119.4
7/11/2015,R20-2015-09,
7/12/2015,R20-2015-09,
7/13/2015,R20-2015-09,1119.27
7/14/2015,R20-2015-09,1119.25
7/15/2015,R20-2015-09,1119.2
7/16/2015,R20-2015-09,1119.18
7/17/2015,R20-2015-09,1119.15
7/18/2015,R20-2015-09,
7/19/2015,R20-2015-09,
7/20/2015,R20-2015-09,1119.06
7/21/2015,R20-2015-09,1119.03
7/22/2015,R20-2015-09,1119.01
7/23/2015,R20-2015-09,1118.98
7/24/2015,R20-2015-09,1119.01
7/25/2015,R20-2015-09,
7/26/2015,R20-2015-09,
7/27/2015,R20-2015-09,1118.9
7/28/2015,R20-2015-09,1118.9
7/29/2015,R20-2015-09,1118.92
7/30/2015,R20-2015-09,1118.9
7/31/2015,R20-2015-09,1118.95
7/1/2015,R20-2015-10,1120.9
7/2/2015,R20-2015-10,1120.98
7/3/2015,R20-2015-10,
7/4/2015,R20-2015-10,
7/5/2015,R20-2015-10,
7/6/2015,R20-2015-10,1121.11
7/7/2015,R20-2015-10,1121.12
7/8/2015,R20-2015-10,1121.2
7/9/2015,R20-2015-10,1121.24
7/10/2015,R20-2015-10,1121.21
7/11/2015,R20-2015-10,
7/12/2015,R20-2015-10,
7/13/2015,R20-2015-10,1121.08
7/14/2015,R20-2015-10,1121.04
7/15/2015,R20-2015-10,1120.97
7/16/2015,R20-2015-10,1120.99
7/17/2015,R20-2015-10,1120.95
7/18/2015,R20-2015-10,
7/19/2015,R20-2015-10,
7/20/2015,R20-2015-10,1120.91
7/21/2015,R20-2015-10,1120.89
7/22/2015,R20-2015-10,1120.89
7/23/2015,R20-2015-10,1120.88
7/24/2015,R20-2015-10,1120.89
7/25/2015,R20-2015-10,
7/26/2015,R20-2015-10,
7/27/2015,R20-2015-10,1120.89
7/28/2015,R20-2015-10,1120.91
7/29/2015,R20-2015-10,1120.95
7/30/2015,R20-2015-10,1120.94
7/31/2015,R20-2015-10,1120.97
